,delito,localidad,latitud,longitud,anio,mes,dia
73,"ROBBERY,CAR JACKING",MANHATTAN,40.732984,-73.990574,2022,3,6
74,"ROBBERY,CAR JACKING",BROOKLYN,40.673096,-73.919583,2022,2,27
75,"ROBBERY,CAR JACKING",BRONX,40.8052,-73.912598,2022,3,7
76,"ROBBERY,CAR JACKING",BRONX,40.905054,-73.904673,2022,3,9
77,"ROBBERY,CAR JACKING",BROOKLYN,40.6713598203364,-73.8818110231735,2022,3,11
78,"ROBBERY,CAR JACKING",BRONX,40.871544,-73.902398,2022,3,9
79,"ROBBERY,CAR JACKING",BRONX,40.833448,-73.918712,2022,3,14
80,"ROBBERY,CAR JACKING",BROOKLYN,40.6954388081238,-73.9832253756043,2022,3,11
81,"ROBBERY,CAR JACKING",QUEENS,40.745761,-73.90684,2022,3,14
82,"ROBBERY,CAR JACKING",BRONX,40.869852,-73.842902,2022,3,8
83,"ROBBERY,CAR JACKING",BRONX,40.89835,-73.843857,2022,3,11
84,"ROBBERY,CAR JACKING",QUEENS,40.754926,-73.910388,2022,3,20
85,"ROBBERY,CAR JACKING",BRONX,40.819073,-73.900843,2022,3,20
86,"ROBBERY,CAR JACKING",QUEENS,40.652335,-73.737719,2022,3,20
87,"ROBBERY,CAR JACKING",BROOKLYN,40.699737,-73.981697,2022,3,17
88,"ROBBERY,CAR JACKING",BROOKLYN,40.6488507469884,-73.951016510623,2022,3,18
89,"ROBBERY,CAR JACKING",BROOKLYN,40.666787,-73.875728,2022,3,22
90,"ROBBERY,CAR JACKING",MANHATTAN,40.746075,-73.981022,2022,3,23
91,"ROBBERY,CAR JACKING",BROOKLYN,40.699237,-73.93757,2022,3,16
92,"ROBBERY,CAR JACKING",BROOKLYN,40.6713598203364,-73.8818110231735,2022,3,24
93,"ROBBERY,CAR JACKING",MANHATTAN,40.8407811088581,-73.9362453818218,2022,3,25
94,"ROBBERY,CAR JACKING",QUEENS,40.7226409964758,-73.8515418216779,2022,3,27
95,"ROBBERY,CAR JACKING",BRONX,40.856903,-73.886417,2022,3,27
96,"ROBBERY,CAR JACKING",QUEENS,40.712602,-73.784011,2022,3,26
97,"ROBBERY,CAR JACKING",QUEENS,40.751599,-73.939682,2022,3,29
98,"ROBBERY,CAR JACKING",BRONX,40.822622,-73.930942,2022,3,30
99,"ROBBERY,CAR JACKING",BRONX,40.833853,-73.924725,2022,4,3
100,"ROBBERY,CAR JACKING",QUEENS,40.7431245994984,-73.9560680726795,2022,4,7
101,"ROBBERY,CAR JACKING",BROOKLYN,40.674844,-73.926992,2022,4,3
102,"ROBBERY,CAR JACKING",MANHATTAN,40.716612,-73.991006,2022,4,5
103,"ROBBERY,CAR JACKING",BRONX,40.8378421209284,-73.9196277517392,2022,4,3
104,"ROBBERY,CAR JACKING",BRONX,40.857385,-73.916011,2022,4,9
105,"ROBBERY,CAR JACKING",QUEENS,40.7044350296655,-73.8937807141634,2022,4,6
106,"ROBBERY,CAR JACKING",MANHATTAN,40.7669956423899,-73.9639223035387,2022,4,6
107,"ROBBERY,CAR JACKING",QUEENS,40.715353,-73.781672,2022,4,3
108,"ROBBERY,CAR JACKING",BRONX,40.889008,-73.864204,2022,4,27
109,"ROBBERY,CAR JACKING",STATEN ISLAND,40.6447209438691,-74.0770327198983,2022,4,10
110,"ROBBERY,CAR JACKING",QUEENS,40.6799807384666,-73.7762339071953,2022,4,2
111,"ROBBERY,CAR JACKING",QUEENS,40.711247,-73.784875,2022,4,4
112,"ROBBERY,CAR JACKING",BRONX,40.885731,-73.856545,2022,4,14
113,"ROBBERY,CAR JACKING",QUEENS,40.68221,-73.853241,2022,4,15
114,"ROBBERY,CAR JACKING",MANHATTAN,40.7669956423899,-73.9639223035387,2022,4,17
115,"ROBBERY,CAR JACKING",BROOKLYN,40.651057,-73.903643,2022,4,14
116,"ROBBERY,CAR JACKING",BRONX,40.840782,-73.838879,2022,4,13
117,"ROBBERY,CAR JACKING",BROOKLYN,40.663769,-73.865202,2022,4,10
118,"ROBBERY,CAR JACKING",QUEENS,40.746241,-73.828175,2022,4,14
119,"ROBBERY,CAR JACKING",BRONX,40.87781519,-73.86811727,2022,4,25
120,"ROBBERY,CAR JACKING",BRONX,40.813344,-73.89478,2022,4,24
121,"ROBBERY,CAR JACKING",BROOKLYN,40.6258375452829,-73.9909448942322,2022,4,25
122,"ROBBERY,CAR JACKING",BRONX,40.822622,-73.930942,2022,4,19
123,"ROBBERY,CAR JACKING",BRONX,40.87981653,-73.86148117,2022,4,26
124,"ROBBERY,CAR JACKING",BRONX,40.8103518634571,-73.924942325642,2022,4,26
125,"ROBBERY,CAR JACKING",BROOKLYN,40.6581577535544,-74.0004411548878,2022,4,23
126,"ROBBERY,CAR JACKING",QUEENS,40.792343,-73.849609,2022,4,21
127,"ROBBERY,CAR JACKING",QUEENS,40.7072398161698,-73.7927267255908,2022,4,20
128,"ROBBERY,CAR JACKING",BRONX,40.8828621313214,-73.9035744897024,2022,4,21
129,"ROBBERY,CAR JACKING",QUEENS,40.751475,-73.822031,2022,5,4
130,"ROBBERY,CAR JACKING",BROOKLYN,40.6902236041959,-73.9602785860011,2022,5,2
131,"ROBBERY,CAR JACKING",BRONX,40.829106,-73.875954,2022,5,1
132,"ROBBERY,CAR JACKING",BRONX,40.8222710411331,-73.911697780277,2022,4,30
133,"ROBBERY,CAR JACKING",QUEENS,40.691799,-73.806807,2022,5,4
134,"ROBBERY,CAR JACKING",QUEENS,40.781659,-73.832201,2022,4,28
135,"ROBBERY,CAR JACKING",BRONX,40.8162058439227,-73.8960011932583,2022,4,27
136,"ROBBERY,CAR JACKING",QUEENS,40.714983,-73.849399,2022,5,1
137,"ROBBERY,CAR JACKING",BRONX,40.8565767275976,-73.8438936779283,2022,5,3
138,"ROBBERY,CAR JACKING",BROOKLYN,40.677848,-73.916822,2022,5,4
139,"ROBBERY,CAR JACKING",BRONX,40.86383,-73.83369,2022,4,28
140,"ROBBERY,CAR JACKING",QUEENS,40.686793,-73.846889,2022,4,28
141,"ROBBERY,CAR JACKING",BRONX,40.856829,-73.859636,2022,5,2
142,"ROBBERY,CAR JACKING",MANHATTAN,40.8407811088581,-73.9362453818218,2022,4,28
143,"ROBBERY,CAR JACKING",BRONX,40.8162058439227,-73.8960011932583,2022,5,4
144,"ROBBERY,CAR JACKING",BROOKLYN,40.7270006940205,-73.9529831112437,2022,4,29
145,"ROBBERY,CAR JACKING",MANHATTAN,40.828385,-73.942358,2022,5,8
146,"ROBBERY,CAR JACKING",BRONX,40.831239,-73.909232,2022,5,8
147,"ROBBERY,CAR JACKING",MANHATTAN,40.7163099917327,-73.9831660136947,2022,5,7
148,"ROBBERY,CAR JACKING",BRONX,40.837897,-73.863238,2022,5,12
149,"ROBBERY,CAR JACKING",QUEENS,40.7044350296655,-73.8937807141634,2022,5,7
150,"ROBBERY,CAR JACKING",QUEENS,40.757826,-73.919931,2022,5,11
151,"ROBBERY,CAR JACKING",BRONX,40.8873136344706,-73.8472717577564,2022,5,5
152,"ROBBERY,CAR JACKING",BRONX,40.847089,-73.905554,2022,5,6
153,"ROBBERY,CAR JACKING",QUEENS,40.687048,-73.852724,2022,5,5
154,"ROBBERY,CAR JACKING",BROOKLYN,40.675914,-73.917928,2022,5,12
155,"ROBBERY,CAR JACKING",BRONX,40.898562,-73.856618,2022,5,5
156,"ROBBERY,CAR JACKING",QUEENS,40.711282,-73.918056,2022,5,9
